z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
0.029140439,0.0023298431,0.019713094,-0.0009153913,-0.024138028,0.02184301,-0.005045646,0.011457141,0.007427476,0.021155857,-0.010346165,0.00012133378,0.0073012616,0.012728434,-0.0022171189,0.022949938
0.006294036,-0.006483327,0.0023008862,-0.006113298,0.0043661115,-0.0017212435,-0.0058543007,0.017279869,0.015930828,0.023112873,-0.023580248,-0.004787948,-0.007983057,0.0048965155,-0.0053223735,0.006383179
0.0086817425,0.019815011,0.012061553,-0.0032176392,-0.01838708,0.0068023936,-0.009517243,0.0056868116,0.02361875,0.02271043,-0.026535941,-0.0019633695,0.013700442,0.009169641,0.0010501139,0.02346875
-0.026796577,0.010358594,-0.018378338,-0.007307911,0.0023730167,-0.001497634,-0.0065968526,-0.0065844464,-0.0026013115,-0.025432069,0.0021880527,0.009056996,-0.0150220515,-0.013247911,0.0004230886,-0.016333729
-0.0335524,0.014973811,-0.018502248,-0.01664393,-0.0008274503,-0.013339562,0.009062915,0.009312628,-0.00048950815,-0.03294341,0.008002271,0.0004008585,-0.0099465465,-0.0008146097,0.0036448094,-0.02786821
-0.031332582,0.008296371,-0.04043493,0.0037742425,0.0041762064,0.0020307573,-0.0067356233,0.005059861,0.003519059,-0.027130691,0.023710873,-0.0011853774,0.00016105793,-0.012818977,0.0038773909,-0.03268859
0.003451961,0.007599734,-0.0052454947,0.005028072,-0.008580413,-0.011036844,0.0021049543,0.008988251,0.015141362,-0.008459662,0.014024012,-0.00448918,0.0024424898,0.004632565,0.003985438,-0.0055731493
-0.0019442746,-0.015082164,0.013020779,0.0029331725,-0.011059175,0.0017712447,-0.01031175,-0.003057593,0.0026840752,0.016066669,-0.02039329,-0.0007461048,-0.005020286,-0.0047734804,-0.0076036644,0.013304114
0.02362858,-0.0010736446,0.0017166601,0.020201307,-0.013012354,0.010853554,-0.02169338,-0.011734677,-0.008740618,0.023310332,-0.016166149,-0.013090661,-0.0029636137,-0.021567866,-0.0073147546,0.017645394
-0.0017360445,0.00927204,0.00048438637,-0.008869094,-0.005100821,0.022748455,-0.011319053,-0.003185039,0.015159789,0.008999894,-0.01674278,0.0011990111,-0.011223619,-0.0074760593,0.0039938237,-0.0021307238
-0.016412847,0.010668038,-0.014705883,-0.013763328,-0.0039615,0.012109106,-0.011964462,-0.005026395,0.012205002,-0.00787928,0.0041955137,0.0028007282,-0.0064611845,-0.012700684,0.008052049,9.899223e-05
0.03750653,0.0063355053,0.016475681,0.027518267,-0.010436373,0.014140742,-0.009828651,0.0036624009,-0.0036197212,0.03619457,-0.023319783,-0.0131824175,-0.0024953934,0.004243483,0.0049580843,0.024174456
-0.0070425463,0.0065900744,-0.013452729,0.00036494748,0.008981879,-0.0012145735,0.012349528,0.0009091236,0.0036537217,-0.0049941633,0.0062062684,-0.012116369,0.004921817,0.00094061473,0.009719347,-0.012342466
-0.00045141214,0.0045136097,0.0027852168,-0.0053110044,0.0076149786,0.010692566,-0.0028128864,-0.00948234,-0.003557083,0.018490128,-0.0063728187,0.007413313,0.0021721874,-0.0078072944,0.011836679,0.014582823
0.016451534,0.007728486,0.008741504,0.008595023,-0.025098057,0.019678488,-0.01852189,-0.0014929607,0.0032408724,0.03344634,-0.02603127,-0.00763996,-0.0029749316,-0.009169699,-0.018301949,0.013392648
-0.037234105,0.009847924,-0.021874482,-0.007361818,0.01180776,0.0008806675,0.0048110955,0.00726356,-0.005381298,-0.031716086,0.029814277,0.002809682,-0.017567448,-0.011167422,-0.01412436,-0.021391723
-0.0051036696,0.006896866,-0.0049591376,0.0034276142,-0.026045034,0.01504435,-0.0027709312,-0.0081258705,0.0144542195,0.018049765,-0.0035524582,0.0010177812,0.01220007,-0.006064802,0.0033028028,0.0094850585
-0.030725816,0.0004969193,0.005281335,-0.0049126963,-0.011086621,-0.0013386842,0.0023387843,0.010353102,0.0021643755,-0.014632446,-0.0025611822,0.005705338,0.00048066286,-0.0007198328,0.0037343872,0.0038428183
-0.044188038,0.00020837624,-0.028879246,-0.013689529,0.015268863,0.0076477826,0.012197361,0.005551089,0.0027869728,-0.041584656,0.025184657,0.007879693,-0.003531583,-0.011988854,0.0022849063,-0.036317226
-0.048750013,0.0021314838,-0.017896287,-0.02039912,0.022971867,-0.03052334,0.011684813,0.004788951,-0.016698021,-0.05547497,0.03538905,0.00870691,-0.025540665,-0.0011410974,0.019275304,-0.03738861
0.014063151,0.014987298,0.017172536,0.014329326,-0.029397024,-0.0049062623,0.0010492291,0.0023304722,0.0016445409,0.021061288,-0.024778612,-0.00451381,-0.00733994,0.013083294,0.0013367302,0.028055908
0.024576789,-0.0036739246,0.0024894255,-0.0002717747,-0.013778277,0.0073665665,0.00061395555,0.0045703426,0.0010434433,0.030955214,-0.019682605,-0.008602822,0.00361986,0.00914553,-0.0024145204,0.030893436
-0.044682812,-0.005153876,-0.0025390745,-0.010582885,0.010664379,-0.018207056,0.0040111546,-0.00309472,-0.0057584904,-0.032509573,0.028903367,-0.007354299,0.0034629304,-0.012306583,-0.008369611,-0.018973576
-0.0063716397,0.014980824,0.0008937661,-0.006021493,0.0052194074,0.004136428,0.004832019,0.0046918723,0.0022365602,0.0020246094,-0.0013385762,-0.019152265,-0.009418001,-0.0045723207,-0.000665748,0.0018856718
0.0360581,-0.0046805353,0.012739998,0.024249243,-0.014425076,-0.0023391426,-0.0017730847,-0.0033496132,0.019406302,0.025363535,-0.022750078,0.011567112,-0.0040592127,0.01685125,-0.0051285042,0.015804678
-0.027789192,0.014338918,-0.026119601,-0.012029582,0.0114099225,-0.008996927,-0.0064880117,0.003828711,0.005606576,-0.026815414,0.022148084,0.012398327,-0.0014537588,-0.00927448,0.010226282,-0.01340753
0.02212103,-0.0006169595,0.019216375,0.014541509,-0.015780697,0.0121044265,-0.012362976,0.00039125668,0.016857125,0.03467647,-0.034998234,-0.0121408515,0.0043551177,0.004366727,-0.00301511,0.03458149
0.039093092,0.0052352673,0.024649315,0.029187705,-0.021786055,-0.0033286144,-0.0022571487,0.011248841,0.0039002215,0.015218407,-0.012340277,0.005841042,0.0027135604,-0.0047240485,0.012907311,0.011953308
-0.018994363,0.0010867956,-0.0074699256,0.004463016,-0.0004672774,0.0032707502,0.009902578,-0.009884337,0.0023426015,-0.022110984,-0.0015909193,-0.00019411801,0.005678208,-0.0019555446,0.0030785669,-0.010306562
0.030632097,0.0031016488,-0.0042522075,-0.01081714,-0.005964456,0.025315298,-0.0016530344,0.004115785,0.011292166,0.012574396,-0.020695498,-0.0038579481,0.014346865,0.011863085,-0.0037279227,0.031831097
-0.040209543,-0.004078459,-0.013011167,-0.032244865,0.01370119,0.009330652,-0.016690657,0.0051169526,-0.003992059,-0.030013198,-0.007524371,0.01857012,-0.006491019,-0.028082682,0.02405594,-0.014249638
-0.025967654,0.00014989564,-0.020572776,-0.004261956,-0.00036091218,0.0037607308,0.0048682154,0.00051434874,0.007479359,-0.0081117675,-0.0026870663,-0.002522731,-0.01129692,0.0062978254,-0.0062597077,-0.010643973
0.02102337,-0.0036875252,0.0059978124,0.0054788566,-0.0142844925,0.00023993957,-0.0052568936,0.011813448,0.0011023479,0.028213246,-0.024975039,-0.0031492487,0.01020766,-0.003662307,-0.012957889,0.0052138222
0.009692246,0.016311757,-0.00340014,0.004891762,-0.0157718,0.005902087,0.0044901343,-0.008949241,0.0013538278,0.019257247,-0.0042911842,-0.019976461,-0.0050352574,-0.008127073,-0.0068990095,0.015093865
-0.009807186,0.0037256042,-0.010892158,-0.004567085,-0.008381572,0.011235916,0.007583764,0.016421594,0.005403025,0.0013845441,-0.0038319828,-0.003082076,-0.0055976417,-0.014757965,0.008844974,0.0075574005
